ZIP Code,ZIP Code Tabulation Area (ZCTA) Map,ZCTA UNS (/5),ZCTA UNS,Population Size,State,All-Cause Mortality,Associate Degree or Higher,Asthma,Below 200% Federal Poverty Level,Below Poverty Level,Broadband Access,Cervical,Chlamydia,Diphtheria Tetanus Pertussis 3 Dose (DTP3) Coverage,Dental Visit,Diabetes,Drug Mortality,Foreign Born,Health Center Penetration,Health Center Penetration Total Population,Housing Stress,Life Expectancy,Healthy Food,Linguistic Isolation,Low Birthweight,No High School Diploma,No High School Diploma Age 25+,Vehicle Access,Non White,Obesity,Pap Smear Screening,Poor Mental Health,Poor Physical Health,Preterm Births,Preventable Hospital Stays,Single-Parent Household,Smoking,Under 5 Mortality,Unemployment,Uninsured,Violent Crime,All-Cause Mortality (Percentile),Associate Degree or Higher (Percentile),Asthma (Percentile),Below 200% Federal Poverty Level (Percentile),Below Poverty Level (Percentile),Broadband Access (Percentile),Cervical (Percentile),Chlamydia (Percentile),Diphtheria Tetanus Pertussis 3 Dose (DTP3) Coverage (Percentile),Dental Visit (Percentile),Diabetes (Percentile),Drug Mortality,Foreign Born (Percentile),Health Center Penetration (Percentile),Health Center Penetration Total Population (Percentile),Housing Stress (Percentile),Life Expectancy (Percentile),Healthy Food (Percentile),Linguistic Isolation (Percentile),Low Birthweight (Percentile),No High School Diploma (Percentile),No High School Diploma Age 25+ (Percentile),Vehicle Access,Non White (Percentile),Obesity (Percentile),Pap Smear Screening (Percentile),Poor Mental Health (Percentile),Poor Physical Health (Percentile),Preterm Births (Percentile),Preventable Hospital Stays (Percentile),Single-Parent Household (Percentile),Smoking (Percentile),Under 5 Mortality (Percentile),Unemployment (Percentile),Uninsured (Percentile),Violent Crime (Percentile),
30730,30730,13,66.46,1812,GA,1090.00,0.18,10.11,0.37,0.10,0.78,81.75,204.60,88.70,54.75,11.84,38.91,0.10,0.11,0.04,0.16,73.81,0.01,0.10,0.11,0.26,0.27,0,0.13,34.56,75.71,17.03,13.54,0.11,3494,0.26,19.58,7.40,2.90,0.12,136.22,96.09,85.51,41.73,66.68,45.94,70.48,54.77,19.03,71.59,78.44,59.93,74.35,65.17,66.27,56.53,9.34,94.33,11.92,30.22,94.88,93.57,93.57,8.21,39.53,34.37,83.00,63.87,66.72,78.18,83.27,67.83,63.86,75.06,32.73,78.44,23.44,
36855,36855,16,80.49,1305,AL,1030.00,0.23,11.01,0.33,0.23,0.72,82.48,647.51,91.18,55.21,17.17,20.71,0.13,0.05,0.02,0.35,74.74,0.06,0.80,0.10,0.12,0.13,0.03,0,44.17,83.07,18.86,17.02,0.13,3109.34,0.68,22.87,8.50,0,0.12,527.15,93.26,74.58,73.67,56.98,85.91,82.84,44.97,85.95,43.92,77.05,95.56,27.28,52.37,76.87,69.95,85.35,89.51,44.46,45.61,94.87,63.73,67.45,38.17,79.64,94.76,6.21,83.73,93.67,95.20,68.44,96.87,84.21,90.01,6.93,76.32,87.60,
36801,36801,15,75.95,23109,AL,820.00,0.41,10.90,0.40,0.19,0.81,83.85,495.33,91.20,62.26,13.35,13.88,0.13,0.01,0,0.31,77.90,0.11,1.20,0.10,0.11,0.11,0.11,-0.11,42.54,80.37,18.05,13.51,0.12,2423.34,0.39,18.03,8.51,4.10,0.08,416.85,63.40,31.54,70.46,73.09,79.45,62.76,26.45,71.33,43.01,51.38,77.08,9.19,52.61,84.19,81.02,75.91,55.44,65.71,51.93,94.87,60.79,61.13,87.75,89.04,90.01,30.39,76.45,66.43,85.65,32.69,85.29,51.55,91.96,47.52,62.64,77.29,
36802,36801,15,75.95,23109,AL,820.00,0.41,10.90,0.40,0.19,0.81,83.85,495.33,91.20,62.26,13.35,13.88,0.13,0.01,0,0.31,77.90,0.11,1.20,0.10,0.11,0.11,0.11,-0.11,42.54,80.37,18.05,13.51,0.12,2423.34,0.39,18.03,8.51,4.10,0.08,416.85,63.40,31.54,70.46,73.09,79.45,62.76,26.45,71.33,43.01,51.38,77.08,9.19,52.61,84.19,81.02,75.91,55.44,65.71,51.93,94.87,60.79,61.13,87.75,89.04,90.01,30.39,76.45,66.43,85.65,32.69,85.29,51.55,91.96,47.52,62.64,77.29,
36803,36801,15,75.95,23109,AL,820.00,0.41,10.90,0.40,0.19,0.81,83.85,495.33,91.20,62.26,13.35,13.88,0.13,0.01,0,0.31,77.90,0.11,1.20,0.10,0.11,0.11,0.11,-0.11,42.54,80.37,18.05,13.51,0.12,2423.34,0.39,18.03,8.51,4.10,0.08,416.85,63.40,31.54,70.46,73.09,79.45,62.76,26.45,71.33,43.01,51.38,77.08,9.19,52.61,84.19,81.02,75.91,55.44,65.71,51.93,94.87,60.79,61.13,87.75,89.04,90.01,30.39,76.45,66.43,85.65,32.69,85.29,51.55,91.96,47.52,62.64,77.29,
36250,36250,9,44.11,4650,AL,1010.00,0.29,9.76,0.16,0.08,0.94,84.63,545.00,91.20,64.38,9.75,28.18,0.15,0.07,0.01,0.14,73.61,0.19,0.20,0.10,0.08,0.07,0.02,0.06,34.97,84.11,16.64,11.46,0.10,3571,0.20,16.76,8.51,1.00,0.04,756.07,92.05,60.11,28.24,18.25,36.12,13.50,18.05,76.58,43.01,40.78,29.19,49.67,40.91,74.18,74.97,4.85,95.04,83.69,32.48,94.87,42.86,36.41,29.22,59.36,37.01,3.13,58.15,37.13,49.49,85.88,52.36,39.92,91.96,17.18,32.49,96.71,
36276,36276,15,75.43,2561,AL,920.00,0.34,11.22,0.45,0.22,0.71,82.06,546.74,91.20,55.37,14.05,20.95,0.06,0.20,0.08,0.25,74.71,0.26,1.00,0.10,0.12,0.15,0.04,-0.05,41.23,79.39,20.50,14.99,0.12,3009.61,0.15,21.08,8.51,8.70,0.10,261.60,83.14,46.62,79.28,80.60,84.25,84.92,50.54,76.75,43.01,76.57,82.48,27.91,77.65,52.38,40.70,57.38,89.74,91.83,49.00,94.87,65.17,74.48,53.75,84.78,84.18,46.31,93.17,81.46,93.14,63.56,37.18,74.47,91.96,84.39,71.56,54.34,
30124,30124,16,78.38,2904,GA,1010.00,0.30,10.12,0.31,0.12,0.85,81.44,424.16,88.70,55.42,12.52,33.09,0.17,0,0,0.22,75.40,0.24,0,0.11,0.14,0.14,0.06,0.04,37.25,77.03,16.46,13.64,0.11,4471.62,0.17,17.69,7.40,7.50,0.13,339.18,92.05,57.07,41.95,52.47,55.10,45.92,58.71,63.49,71.59,76.39,68.62,61.56,34.46,92.28,91.23,38.86,85.01,89.71,14.63,94.88,70.57,71.05,69.84,65.40,55.06,75.40,55.26,67.87,84.86,96.57,44.65,48.37,75.06,78.99,81.86,67.28,
36850,36850,19,93.60,2789,AL,1120.00,0.19,12.08,0.54,0.22,0.60,82.43,531.18,91.20,49.61,21.95,19.17,0.04,0.01,0,0.26,75.26,0.03,1.10,0.10,0.23,0.24,0.13,-0.35,49.06,79.14,19.39,18.01,0.15,2478.1,0.48,24.44,8.51,7.40,0.07,616.63,96.96,83.56,92.21,90.08,84.23,93.76,45.45,74.87,43.01,90.35,99.55,22.78,84.67,84.18,79.98,61.56,86.01,23.49,50.44,94.87,90.01,91.43,89.96,97.10,99.34,51.15,87.70,96.51,99.02,36.50,91.52,90.24,91.96,78.39,56.88,92.49,
36203,36203,15,72.72,18673,AL,1000.00,0.37,10.43,0.34,0.14,0.86,82.88,565.19,91.20,58.87,12.01,26.41,0.13,0.06,0.02,0.19,73.69,0.19,5.70,0.10,0.15,0.16,0.04,0.07,37.65,82.03,18.16,13.57,0.10,3484.41,0.35,19.13,8.51,5.00,0.11,678.03,91.36,39.60,53.57,59.41,63.40,42.02,39.13,78.62,43.01,64.95,62.34,44.22,50.48,75.05,67.42,22.82,94.70,82.98,81.02,94.87,74.92,76.72,51.45,56.51,58.76,12.59,77.50,66.94,65.73,82.99,80.78,60.59,91.96,58.31,72.24,94.88,
30129,30165,18,89.02,40751,GA,920.00,0.31,10.42,0.40,0.18,0.86,79.57,423.95,88.70,51.96,12.12,33.05,0.07,0,0,0.29,75.40,0.21,9.40,0.11,0.20,0.19,0.11,0.02,37.74,75.79,17.52,13.46,0.11,4472.02,0.30,17.81,7.40,3.00,0.16,338.27,83.14,54.24,53.46,72.42,77.27,43.38,78.74,63.48,69.21,85.64,63.67,61.47,77.37,84.51,82.07,69.51,84.98,86.84,88.46,94.88,85.75,84.78,86.56,70.70,59.50,82.61,70.52,65.63,82.15,96.57,73.63,49.52,75.06,33.87,87.27,67.24,
30165,30165,18,89.02,40751,GA,920.00,0.31,10.42,0.40,0.18,0.86,79.57,423.95,88.70,51.96,12.12,33.05,0.07,0,0,0.29,75.40,0.21,9.40,0.11,0.20,0.19,0.11,0.02,37.74,75.79,17.52,13.46,0.11,4472.02,0.30,17.81,7.40,3.00,0.16,338.27,83.14,54.24,53.46,72.42,77.27,43.38,78.74,63.48,69.21,85.64,63.67,61.47,77.37,84.51,82.07,69.51,84.98,86.84,88.46,94.88,85.75,84.78,86.56,70.70,59.50,82.61,70.52,65.63,82.15,96.57,73.63,49.52,75.06,33.87,87.27,67.24,
31811,31811,7,37.20,5653,GA,690.00,0.41,9.52,0.25,0.04,0.89,84.79,325.60,88.70,66.65,10.98,19.92,0.23,0.07,0.02,0.19,79.68,0.01,0.10,0.11,0.08,0.06,0.02,0.20,34.45,79.17,14.55,10.99,0.11,2536,0.10,14.80,7.40,5.50,0.05,123.70,29.83,30.79,21.66,38.85,15.43,31.67,16.78,48.21,71.59,29.68,47.16,24.63,18.19,73.93,70.60,22.03,26.13,12.69,30.22,94.88,42.27,34.24,28.91,24.21,33.76,50.65,27.56,30.48,84.81,39.35,23.81,24.55,75.06,63.49,37.70,19.45,
31833,31833,16,78.78,6858,GA,930.00,0.28,11.08,0.35,0.15,0.86,81.32,691.21,88.70,54.14,15.91,24.01,0.11,0.02,0.01,0.28,76.73,0,0,0.11,0.06,0.06,0.13,-0.09,44.11,76.14,17.78,14.75,0.13,3624.1,0.47,20.52,7.40,7.90,0.07,269.28,85.26,61.70,74.84,62.85,68.50,43.77,60.15,88.63,71.59,80.15,92.15,37.09,61.79,82.70,78.10,67.46,71.43,7.70,14.63,94.88,27.93,34.47,90.83,87.52,94.67,80.53,73.37,79.34,95.68,86.72,90.72,70.81,75.06,81.04,52.05,55.98,
36852,36852,15,76.06,2862,AL,,0.24,10.90,0.54,0.27,0.88,82.69,521.07,91.20,61.26,12.86,15.04,0.09,0.01,0.01,0.30,77.36,0.30,0,0.10,0.07,0.08,0.05,-0.11,42.02,81.82,19.25,14.39,0.11,2539.25,0.19,20.61,8.51,6.30,0.06,436.06,,71.92,70.54,90.22,90.79,35.36,41.94,73.74,43.01,55.78,72.33,11.56,68.88,83.86,78.89,72.97,63.26,94.26,14.63,94.87,36.80,47.61,59.27,88.72,88.00,14.32,86.67,75.83,83.61,39.51,50.10,71.44,91.96,70.76,50.67,79.70,
36274,36274,17,82.79,10007,AL,990.00,0.21,10.79,0.44,0.20,0.76,83.39,546.71,91.20,58.34,14.09,21.34,0.05,0.06,0.03,0.21,74.69,0.24,0.70,0.10,0.18,0.19,0.06,-0.07,40.67,78.56,18.59,14.31,0.13,3036.54,0.39,19.61,8.51,4.20,0.11,214.06,90.35,79.04,65.45,79.73,81.38,76.18,32.24,76.74,43.01,66.94,82.73,28.72,80.86,75.53,64.21,31.23,89.80,89.72,43.76,94.87,82.66,83.93,68.31,86.33,81.01,60.29,81.44,75.17,95.08,64.79,85.28,64.15,91.96,48.76,75.61,43.99,
36862,36862,17,84.46,5065,AL,1040.00,0.20,11.40,0.45,0.13,0.65,83.89,645.60,91.20,55.00,17.39,20.66,0.10,0.10,0.04,0.31,74.73,0.02,0,0.10,0.19,0.19,0.12,-0.19,46.28,79.25,18.60,15.70,0.14,3100,0.31,20.90,8.51,6.40,0.11,529.00,93.85,82.36,82.65,80.99,61.85,90.37,26.00,85.91,43.01,77.70,96.03,27.19,65.71,66.83,54.00,76.85,89.56,18.61,14.63,94.87,84.67,85.21,88.85,93.00,97.76,49.21,81.70,86.94,97.39,68.20,75.99,73.33,91.96,71.52,72.41,87.64,
